['0', '30-ВСГ', '76-XMA', '24:08:12', '1']
['103', '5-СТЫ', '50-MTE', '19:09:19', '4']
['104', '33-NBK', '87-ЕМЕ', '24:16:48', '3']
['105', '46-DIZ', '74-СЙР', '12:32:41', '5']
['106', '28-USE', '57-UGE', '16:51:50', '8']
['107', '17-АМО', '62-ЙЛВ', '20:38:53', '9']
['108', '24-ТЩЖ', '91-ЖЯО', '19:53:12', '3']
['109', '22-ЮЬО', '85-ЫЧЫ', '10:39:31', '5']
['110', '12-ЙЩР', '96-ЧЖВ', '23:40:49', '8']
['111', '46-ZQS', '66-ФПЙ', '8:13:54', '3']
['112', '49-BMF', '85-ЩЩЩ', '11:46:01', '1']
['113', '17-ТЭЛ', '84-APW', '3:40:09', '7']
['114', '8-RJQ', '64-НЫЮ', '16:40:42', '3']
['115', '30-ЫЩО', '66-NDE', '23:10:40', '1']
['116', '18-ФБП', '86-JTW', '16:13:35', '4']
['117', '11-UJR', '66-ЛЧЭ', '21:13:12', '7']
['118', '20-МЭЭ', '94-ТЮВ', '20:40:15', '7']
['119', '39-ПЛФ', '80-РСБ', '14:19:37', '3']
['120', '30-ПОТ', '62-LJB', '15:07:53', '2']
['121', '13-KAU', '99-ETH', '11:49:29', '8']
['122', '6-WZB', '63-SMR', '24:18:24', '6']
['123', '6-HVS', '97-ИЫН', '20:08:25', '4']
['124', '11-ЪЬД', '59-IQD', '19:55:59', '8']
['125', '15-АПЪ', '84-RKV', '16:46:36', '2']
['126', '42-ГОЖ', '95-MRF', '24:29:42', '5']
['127', '16-FUD', '65-VCR', '23:40:47', '9']
['128', '32-ШВФ', '57-ЙЩП', '10:08:08', '8']
['129', '37-ОЮП', '68-GAH', '3:19:35', '9']
['130', '40-PIZ', '73-YNX', '19:27:23', '3']
['131', '30-UPP', '53-ИОЧ', '7:08:35', '4']
['132', '49-UQU', '52-ЩИЦ', '1:31:31', '4']
['133', '38-ХЖЭ', '79-МЧЦ', '6:28:52', '4']
['134', '48-ЛТУ', '54-ЩЗЙ', '21:51:02', '1']
['135', '35-YSP', '89-HIV', '19:07:59', '8']
['136', '27-JLW', '97-ЦХД', '5:20:12', '1']
['137', '10-ЫЮХ', '91-ITD', '15:54:58', '7']
['138', '13-ГСИ', '57-КЧЮ', '18:15:48', '6']
['139', '34-RHC', '50-KYA', '17:21:40', '1']
['140', '28-ZFL', '59-MIV', '17:53:41', '5']
['141', '8-ISZ', '93-ЬЮЛ', '22:40:54', '1']
['142', '13-ЧЧЗ', '70-ЫПО', '17:28:27', '1']
['143', '32-ФЕК', '52-ЕЩУ', '21:27:03', '9']
['144', '33-СДГ', '81-ZJH', '15:54:42', '7']
['145', '10-BBT', '94-CAR', '12:06:05', '3']
['146', '17-УНГ', '73-DQX', '10:01:46', '9']
['147', '21-RKH', '84-ЙФБ', '8:54:00', '3']
['148', '30-МБП', '77-HRA', '22:31:06', '5']
['149', '28-НРС', '60-HDK', '16:07:10', '1']
['150', '42-ПЭМ', '54-ZEZ', '24:03:21', '6']
['151', '25-EWT', '84-УТС', '8:45:53', '4']
['152', '19-GWP', '68-КФО', '8:17:24', '4']
['153', '39-DIJ', '81-YST', '8:51:59', '5']
['154', '17-SKC', '54-JFI', '17:03:23', '1']
['155', '5-IXR', '89-LNI', '19:36:18', '5']
['156', '36-ЮАЪ', '89-BQK', '1:47:53', '9']
['157', '10-DDL', '83-ЧЛП', '13:48:16', '3']
['158', '21-SVN', '62-УЛЗ', '12:26:58', '2']
['159', '26-MOW', '66-НСФ', '8:05:23', '9']
['160', '37-LBP', '92-БЭР', '9:37:29', '3']
['161', '11-KAP', '92-ЦЮС', '2:49:48', '1']
['162', '11-ДЦЛ', '59-OZO', '23:18:42', '4']
['163', '26-ЙЦЗ', '84-JIV', '8:58:30', '5']
['164', '46-ЙМО', '72-SDS', '10:48:06', '8']
['165', '48-OQO', '68-EQN', '19:20:36', '7']
['166', '20-QGR', '81-ГМВ', '9:56:20', '9']
['167', '42-УЩО', '55-AFK', '21:10:42', '2']
['168', '44-XAH', '77-AWC', '1:29:08', '5']
['169', '22-ДВН', '84-ЕФС', '1:53:47', '2']
['170', '6-FMS', '85-ЯЬХ', '6:19:20', '9']
['171', '19-YQY', '92-PCT', '12:26:53', '2']
['172', '8-ЙЧБ', '90-SGY', '7:15:04', '1']
['173', '40-BPM', '54-NQS', '19:14:37', '4']
['174', '29-ЦГФ', '74-KKD', '5:19:48', '4']
['175', '45-ЪЭЪ', '97-ЙЪУ', '16:56:07', '9']
['176', '6-QHE', '80-ПЮД', '1:06:25', '1']
['177', '47-ФКП', '99-LOL', '6:56:49', '9']
['178', '29-ЙГБ', '79-OQR', '10:13:53', '3']
['179', '16-ЮЭХ', '56-AOG', '18:54:43', '1']
['180', '12-ЬЫГ', '74-ВТЩ', '6:20:57', '3']
['181', '39-АЦЯ', '67-FVG', '21:24:59', '1']
['182', '20-ЕТМ', '58-ОМП', '4:35:58', '4']
['183', '41-JRR', '85-LKS', '19:06:50', '8']
['184', '27-ТУБ', '73-КСВ', '12:22:07', '4']
['185', '37-ЦЫФ', '69-НТА', '23:18:46', '2']
['186', '21-ЬЬЯ', '63-КБЮ', '23:52:57', '7']
['187', '33-ЛФК', '61-ЗЗЛ', '9:20:25', '2']
['188', '36-MRP', '82-DFT', '9:32:10', '4']
['189', '43-UBN', '88-МНФ', '22:27:24', '6']
['190', '12-ЦУП', '81-ЕЖФ', '19:55:32', '3']
['191', '33-ЛТУ', '84-XOQ', '14:45:07', '6']
['192', '15-DZC', '85-ОГП', '3:38:23', '4']
['193', '35-МЭИ', '96-УПЭ', '4:24:27', '1']
['194', '43-VNB', '77-ЩРА', '19:48:45', '6']
['195', '31-ЬЪЗ', '73-ЛЗП', '8:23:42', '7']
['196', '11-ИКМ', '84-ЛЩЩ', '1:02:57', '6']
['197', '37-JAX', '75-ФРГ', '20:37:55', '8']
['198', '9-ZBJ', '78-ЕШК', '2:51:18', '3']
['199', '43-ЦЛР', '67-АЧЯ', '15:53:35', '4']
['200', '45-ГЧИ', '89-MKQ', '10:52:55', '5']
['201', '33-ЗХК', '71-ZIA', '4:05:47', '8']
['202', '12-ЦЕТ', '55-ADB', '10:17:02', '6']
['203', '31-ОБЦ', '93-БГН', '7:44:12', '9']
['204', '40-ЖЛН', '69-RHC', '13:15:40', '1']
['205', '47-ЙМВ', '56-СКЩ', '22:32:53', '2']
['206', '34-FTA', '59-VDR', '22:40:13', '2']
['207', '6-ФЕБ', '97-ХШЮ', '17:39:23', '6']
['208', '17-LFY', '63-ЫБЮ', '15:42:04', '7']
['209', '41-СКЦ', '67-SGH', '11:19:41', '8']
['210', '37-KKI', '68-XYD', '14:34:21', '1']
['211', '25-ZGR', '65-BSL', '22:31:00', '3']
['212', '11-PHA', '85-ЖТБ', '20:32:09', '5']
['213', '25-ЮЮЪ', '65-ЯЗТ', '7:08:13', '7']
['214', '30-ССЧ', '73-ЭСО', '8:50:11', '7']
['215', '37-KFQ', '63-ЕИА', '2:36:32', '4']
['216', '19-АГТ', '67-ZLH', '8:56:57', '7']
['217', '40-ZER', '77-DIB', '6:55:45', '6']
['218', '30-ЖЮН', '61-ZGH', '16:16:18', '3']
['219', '6-IGV', '58-ШЙО', '6:38:03', '6']
['220', '41-ЪОН', '95-ОЮЭ', '23:24:18', '4']
['221', '40-GVL', '62-IRM', '14:08:15', '5']
['222', '35-ЦЪМ', '79-COA', '11:12:40', '9']
['223', '38-YFS', '77-YQP', '3:48:30', '7']
['224', '22-SEO', '75-GOT', '6:05:44', '9']
['225', '33-OOV', '57-YSZ', '15:13:43', '6']
['226', '16-MTK', '70-ЩВС', '20:51:28', '6']
['227', '17-ФОТ', '96-МЩО', '11:34:08', '8']
['228', '44-LYY', '70-ЮЦС', '4:50:36', '4']
['229', '24-ЯУВ', '92-VRS', '5:45:33', '5']
['230', '14-VKL', '54-XQC', '9:22:09', '7']
['231', '27-ЖВЗ', '79-IBA', '19:55:48', '8']
['232', '9-АЗО', '62-ЧФХ', '11:03:16', '5']
['233', '27-ЗОМ', '94-GOS', '3:01:44', '8']
['234', '29-ВЩЖ', '57-PLT', '15:22:57', '4']
['235', '43-BOR', '54-HJD', '10:59:53', '8']
['236', '23-HGF', '90-CHK', '18:20:18', '9']
['237', '9-КЖМ', '62-JBM', '11:45:26', '8']
['238', '23-OAL', '60-SOX', '13:04:16', '8']
['239', '38-UPZ', '51-ЪОМ', '2:36:16', '4']
['240', '37-ФМЛ', '54-ЦЗП', '22:10:37', '6']
['241', '39-YVF', '85-ZPH', '19:30:52', '2']
['242', '18-WEY', '52-CTN', '9:09:39', '1']
['243', '16-ИВУ', '60-KXT', '8:07:54', '9']
['244', '34-ПЦЛ', '54-CID', '11:11:08', '9']
['245', '25-ГШЖ', '70-ЪГЭ', '18:01:35', '8']
['246', '18-ЦУЬ', '97-TMO', '10:32:15', '7']
['247', '14-БСП', '84-ЪЦЕ', '4:32:04', '3']
['248', '8-МЧР', '86-АЙС', '7:16:09', '9']
['249', '35-ZCE', '86-ЖЪЖ', '14:33:25', '4']
['250', '12-FJO', '80-БЬФ', '2:58:12', '2']
['251', '48-ВЯЙ', '65-MBC', '11:52:11', '5']
['252', '38-ЭЦБ', '89-ZLM', '23:00:45', '4']
['253', '24-ТГЙ', '51-NXR', '11:59:16', '4']
['254', '45-VPB', '86-ТМН', '14:01:01', '6']
['255', '15-BQY', '70-QTD', '1:49:47', '3']
['256', '40-ДЛБ', '83-XWR', '23:37:18', '1']
['257', '43-ЕНЛ', '94-YWY', '21:54:13', '2']
['258', '37-UNF', '84-JTW', '15:18:49', '3']
['259', '40-УЪТ', '94-ZMJ', '2:23:19', '4']
['260', '37-GXX', '58-EPO', '20:44:13', '9']
['261', '43-YVE', '72-AXT', '18:59:50', '7']
['262', '13-ГЩЦ', '57-YAK', '4:28:37', '1']
['263', '21-DLK', '66-ШЛБ', '6:10:52', '6']
['264', '14-WNY', '97-ЕУН', '7:08:19', '3']
['265', '34-СЙД', '71-ЦШЛ', '15:58:11', '6']
['266', '32-EJT', '86-DFX', '15:42:10', '5']
['267', '28-YDF', '74-LLM', '9:07:16', '9']
['268', '40-GHW', '58-РЕМ', '9:40:55', '8']
['269', '23-ЗЪР', '58-ЧЬЛ', '8:27:09', '4']
['270', '8-КЮХ', '70-LPZ', '10:24:05', '4']
['271', '15-NXH', '64-ЙФР', '19:00:22', '4']
['272', '33-РХЛ', '51-TXD', '19:45:58', '1']
['273', '16-ЦЖВ', '85-ЕЖС', '12:17:28', '2']
['274', '37-MZI', '81-PLA', '11:56:36', '3']
['275', '6-ЬЩЗ', '63-ЦИТ', '5:33:59', '5']
['276', '27-MDG', '67-UDN', '9:10:01', '5']
['277', '11-КЩЩ', '99-ХДС', '4:59:59', '5']
['278', '34-ЙМД', '64-УЩБ', '3:26:13', '3']
['279', '21-WRZ', '82-YHK', '24:29:28', '2']
['280', '27-VKH', '81-МИЖ', '20:35:46', '7']
['281', '24-ЕЦЧ', '52-НОН', '2:16:57', '9']
['282', '26-СПД', '97-НЩЗ', '1:09:18', '1']
['283', '37-XUR', '72-ЫСК', '2:40:07', '8']
['284', '5-ЩДТ', '54-ФВЦ', '6:39:42', '2']
['285', '14-ИЧЖ', '99-JIK', '1:45:24', '8']
['286', '29-ПЩХ', '94-GSE', '11:11:00', '8']
['287', '16-UAW', '80-EZX', '11:47:58', '2']
['288', '44-RKE', '62-ПХЦ', '11:00:06', '6']
['289', '33-PKW', '96-ЗЙФ', '6:26:43', '5']
['290', '10-SSF', '90-ЗЪШ', '22:58:49', '3']
['291', '29-ЭЯЛ', '56-ЖЙР', '2:57:09', '8']
['292', '7-ЮЕМ', '51-GNL', '3:55:46', '6']
['293', '38-ТЫГ', '59-УЬЫ', '8:58:33', '2']
['294', '43-RKJ', '57-ЯИЭ', '1:54:07', '1']
['295', '40-ETA', '89-БТЦ', '11:40:14', '9']
['296', '24-FLC', '56-TNV', '15:14:48', '2']
['297', '24-TZK', '96-ENP', '14:01:48', '9']
['298', '10-IVH', '93-УЬЯ', '23:45:58', '3']
['299', '45-РУХ', '69-MPD', '17:49:21', '8']
['300', '10-ЬЧЗ', '79-ЬАК', '16:32:48', '6']
['301', '26-ЮКЫ', '74-ЦХЬ', '24:39:56', '4']
['302', '25-ГЬЗ', '52-НЛХ', '5:28:53', '9']
['303', '5-FLZ', '58-ЛИЙ', '8:19:31', '3']
['304', '47-SAK', '80-ЗМО', '23:22:13', '3']
['305', '13-НЭЬ', '88-ПЯС', '6:30:44', '3']
['306', '18-ЛСГ', '55-НИЖ', '18:12:09', '2']
['307', '18-UFV', '94-WEO', '14:42:30', '3']
['308', '5-ЖЕЫ', '76-ЭФЪ', '5:22:26', '6']
['309', '7-CTP', '68-YBZ', '7:49:49', '4']
['310', '32-ЛЖП', '97-DFT', '17:23:48', '3']
['311', '33-HAC', '88-ЕАЛ', '15:58:51', '4']
['312', '19-ТЕЫ', '77-ГБА', '13:33:30', '9']
['313', '14-ЬХЭ', '65-WLR', '8:54:21', '7']
['314', '45-TSG', '60-ТЙА', '23:43:08', '7']
['315', '21-WGF', '84-TZA', '23:25:02', '5']
['316', '24-ТТИ', '85-OZZ', '9:44:46', '9']
['317', '38-OWR', '62-LZC', '17:40:32', '5']
['318', '7-ZSO', '58-БЕП', '5:40:49', '7']
['319', '37-ЭКЗ', '98-ДФЬ', '22:13:46', '1']
['320', '45-NPA', '77-EGZ', '4:04:01', '8']
['321', '46-THE', '76-ЧГЙ', '14:06:59', '1']
['322', '13-ВОЗ', '74-GTH', '11:31:12', '3']
['323', '13-ITO', '70-ZQU', '15:45:39', '3']
['324', '12-ЕАА', '68-ZTP', '14:14:15', '1']
['325', '34-PZU', '65-ГЦЬ', '7:53:07', '2']
['326', '25-ЩШН', '77-ОЧС', '6:29:32', '5']
['327', '8-LNP', '76-POO', '15:00:49', '5']
['328', '49-ЧНЭ', '80-GWA', '9:55:53', '9']
['329', '32-WAN', '84-ЫУЦ', '14:12:12', '4']
['330', '17-ТПЦ', '90-PJQ', '2:25:50', '3']
['331', '35-НДУ', '57-QXP', '5:25:53', '3']
['332', '9-ЯУК', '99-ЦОЕ', '13:35:10', '6']
['333', '14-ЛГГ', '67-XPH', '22:11:58', '6']
['334', '17-HSC', '83-ЩИЗ', '22:44:40', '1']
['335', '39-PSY', '75-ХЮУ', '4:10:05', '9']
['336', '9-TAJ', '53-RKI', '10:45:24', '7']
['337', '23-БЖР', '76-JZW', '23:42:10', '9']
['338', '33-BDI', '52-ARE', '24:22:04', '7']
['339', '26-BCN', '82-ЮЭХ', '22:01:38', '3']
['340', '24-HEV', '62-ЧЙР', '20:51:47', '4']
['341', '15-ХФЫ', '83-НЛК', '17:56:47', '9']
['342', '17-XGB', '59-ФУЭ', '24:58:56', '5']
['343', '47-ГОЦ', '53-НРТ', '14:29:41', '2']
['344', '38-MFX', '87-SGW', '3:45:51', '6']
['345', '5-ЛНЛ', '74-EBQ', '22:06:35', '6']
['346', '33-ВИС', '88-HDF', '11:30:51', '1']
['347', '40-ФБУ', '80-ЮШЯ', '2:13:10', '9']
['348', '48-MIK', '61-ЭЫФ', '22:44:36', '5']
['349', '29-ЭФЛ', '92-ДЬП', '8:07:43', '4']
['350', '45-VWR', '63-NYN', '4:01:42', '9']
['351', '29-ВПР', '93-ГЗУ', '10:23:56', '1']
['352', '24-BXE', '87-QEK', '4:00:26', '2']
['353', '12-LLR', '59-LRQ', '19:36:06', '4']
['354', '6-ХХД', '89-ЙПС', '4:13:41', '7']
['355', '33-JLK', '92-AEX', '12:35:24', '2']
['356', '26-CRN', '69-GOA', '15:50:15', '9']
['357', '49-DXG', '64-KNG', '8:09:52', '3']
['358', '33-ОАН', '79-ЮОУ', '11:58:29', '6']
['359', '39-ZTP', '57-ЫАО', '9:36:48', '8']
['360', '32-CMW', '63-BQL', '17:24:24', '5']
['361', '45-ЫТФ', '76-GTP', '7:00:32', '7']
['362', '14-AXM', '85-MTH', '14:14:15', '2']
['363', '17-REI', '72-CMI', '21:33:29', '1']
['364', '28-NBD', '88-ЕЦС', '20:37:50', '9']
['365', '12-DHD', '50-RGX', '8:41:34', '9']
['366', '15-ППР', '84-YHM', '18:48:33', '5']
['367', '30-WNF', '94-ЙЙТ', '21:51:15', '2']
['368', '17-ОШХ', '87-VIM', '5:06:49', '5']
['369', '39-NHD', '82-ДНЗ', '15:09:12', '9']
['370', '33-СВР', '57-ФФЫ', '1:20:40', '1']
['371', '46-ТЩР', '76-ЧНХ', '4:48:05', '6']
['372', '20-ЭАГ', '55-YPQ', '18:15:43', '9']
['373', '30-ЕЯВ', '64-RFI', '22:00:00', '3']
['374', '36-ХКЭ', '82-YGY', '7:28:52', '2']
['375', '19-БЮК', '75-ОКЧ', '16:38:23', '6']
['376', '12-УЭФ', '51-BYE', '8:02:43', '9']
['377', '18-ЙЬУ', '85-ЮЕГ', '17:05:17', '4']
['378', '35-ИБХ', '72-ПОА', '14:10:50', '1']
['379', '37-БЬЖ', '61-РВБ', '11:04:55', '1']
['380', '5-VOB', '86-ЗЕЪ', '20:04:41', '9']
['381', '6-ЗОС', '52-РЯЮ', '22:56:57', '1']
['382', '13-GJB', '57-ДЕХ', '19:48:20', '6']
['383', '48-EYP', '98-УЦА', '5:13:36', '1']
['384', '41-ЗФВ', '99-ЭЭО', '13:28:51', '9']
['385', '5-ВЪЯ', '94-QZC', '9:33:52', '9']
['386', '48-LKF', '96-ZPO', '20:48:18', '1']
['387', '18-ШЖД', '68-ЕВШ', '5:43:54', '2']
['388', '49-AXJ', '51-БЪД', '4:16:01', '2']
['389', '10-JHI', '69-ЕАП', '11:51:12', '4']
['390', '41-LGS', '90-ЫНЕ', '7:31:02', '9']
['391', '32-BBT', '67-VIG', '9:21:48', '4']
['392', '18-ДЪТ', '93-PCQ', '13:59:53', '4']
['393', '12-ЭЗЖ', '82-ВГВ', '14:49:05', '7']
['394', '42-WSU', '92-OYG', '19:23:26', '1']
['395', '30-JWU', '56-NJD', '14:22:06', '1']
['396', '13-ЩЙГ', '63-ЕШЗ', '13:40:49', '7']
['397', '11-ВЗП', '52-NSG', '4:35:30', '3']
['398', '45-ЖЖЫ', '60-MQW', '8:01:43', '4']
['399', '42-FKX', '71-ЛОЖ', '16:53:20', '9']
['400', '38-ZIS', '93-MEK', '17:04:45', '1']
['401', '33-ХЪК', '87-КХД', '22:22:00', '4']
['402', '47-ЖЬЧ', '57-НДП', '16:09:23', '8']
['403', '23-ЖШЬ', '74-EVX', '1:26:56', '2']
['404', '45-QII', '82-YSV', '23:39:23', '1']
['405', '48-CDD', '93-IQM', '21:47:02', '9']
['406', '12-MLP', '63-GZO', '22:57:58', '9']
['407', '39-ЩЧА', '89-HYN', '2:22:05', '7']
['408', '45-ЙОУ', '63-РМТ', '19:18:36', '8']
['409', '33-СЪМ', '90-ЬНЩ', '11:17:08', '5']
['410', '34-ЦВЗ', '86-СБИ', '7:44:54', '9']
['411', '18-YZV', '85-ЧНВ', '12:25:09', '7']
['412', '38-QLM', '77-ЧЦР', '5:19:59', '5']
['413', '37-QOO', '88-NTI', '20:02:32', '6']
['414', '12-КЪТ', '83-ACN', '15:48:19', '8']
['415', '28-EUN', '77-YUU', '22:08:11', '9']
['416', '17-TYH', '84-СНЫ', '3:30:39', '8']
['417', '36-ЦДШ', '50-CXW', '15:34:24', '3']
['418', '42-ЩЫП', '85-ФНЖ', '21:54:23', '7']
['419', '33-VRH', '53-NFC', '11:50:44', '9']
['420', '21-ЫАС', '82-OVL', '6:20:25', '6']
['421', '32-ШГУ', '62-ЙЫФ', '10:53:55', '1']
['422', '17-CJO', '57-VBB', '11:11:40', '9']
['423', '20-ХДТ', '58-ПЬЖ', '8:35:54', '6']
['424', '40-ШСЦ', '93-ЙГБ', '10:01:02', '5']
['425', '7-DVO', '64-ПФЧ', '15:13:01', '2']
['426', '27-ZTT', '78-SOY', '6:29:45', '1']
['427', '28-ШСТ', '92-ЮШБ', '9:11:10', '7']
['428', '42-ЙОЫ', '89-PCH', '5:24:00', '5']
['429', '44-SML', '76-EPM', '15:52:50', '7']
['430', '45-JYD', '59-ЮЛЮ', '16:45:31', '6']
['431', '37-АЙВ', '57-ОЫР', '11:39:18', '2']
['432', '11-DYI', '73-SIH', '7:29:07', '1']
['433', '36-DUL', '99-САШ', '23:39:48', '4']
['434', '42-ДЧА', '75-HUJ', '16:23:25', '3']
['435', '44-БЙЩ', '75-ЩХП', '11:43:39', '4']
['436', '29-POR', '86-BVW', '1:52:45', '9']
['437', '6-ODR', '82-ЫЮЗ', '15:35:35', '1']
['438', '8-ВЛС', '55-ЫЫГ', '4:44:18', '5']
['439', '6-UQR', '57-ЦЭШ', '9:12:38', '6']
['440', '43-ТММ', '91-НАЭ', '22:57:45', '4']
['441', '24-АЫЩ', '54-ЬЧШ', '8:04:27', '7']
['442', '46-IUE', '74-ЦАШ', '2:57:46', '5']
['443', '19-LWW', '68-СЛЫ', '4:22:33', '1']
['444', '9-TEM', '77-ЗЙЧ', '3:14:14', '7']
['445', '24-ФМГ', '68-ЧУЯ', '16:03:17', '1']
['446', '18-ЕЙА', '93-ОХУ', '20:14:54', '7']
['447', '11-СЗФ', '60-ЫПФ', '6:24:31', '2']
['448', '28-EDS', '55-СЩЧ', '12:03:03', '4']
['449', '33-DET', '59-KTO', '8:07:04', '5']
['450', '27-QMQ', '63-ЮЬШ', '15:24:53', '5']
['451', '41-ДЙЩ', '74-EFU', '7:00:45', '5']
